Best Solution Found: (180)
01 10 25 36 13 38 29 04 16 34 11 27 24 28 40 03 23 26 39 15 37 14 18 22 06 08 20 30 02 21 35 31 32 09 05 17 33 19 12 07 01

01 10 = 4
10 25 = 1
25 36 = 3
36 13 = 3
13 38 = 3
38 29 = 7
29 04 = 13
04 16 = 6
16 34 = 3
34 11 = 1
11 27 = 3
27 24 = 1
24 28 = 3
28 40 = 1
40 03 = 2
03 23 = 4
23 26 = 17
26 39 = 4
39 15 = 2
15 37 = 2
37 14 = 5
14 18 = 5
18 22 = 8
22 06 = 1
06 08 = 8
08 20 = 12
20 30 = 1
30 02 = 4
02 21 = 4
21 35 = 5
35 31 = 8
31 32 = 3
32 09 = 4
09 05 = 6
05 17 = 3
17 33 = 7
33 19 = 4
19 12 = 2
12 07 = 2
07 01 = 5
