Best Solution Found: (15494)
01 02 31 11 06 24 17 12 16 26 15 29 27 10 28 21 08 18 03 35 38 40 20 39 22 07 36 30 33 09 32 14 23 34 13 19 04 37 25 05 01

01 02 = 119
02 31 = 369
31 11 = 764
11 06 = 260
06 24 = 203
24 17 = 1042
17 12 = 74
12 16 = 319
16 26 = 96
26 15 = 80
15 29 = 35
29 27 = 502
27 10 = 718
10 28 = 439
28 21 = 861
21 08 = 87
08 18 = 129
18 03 = 429
03 35 = 912
35 38 = 383
38 40 = 268
40 20 = 180
20 39 = 184
39 22 = 718
22 07 = 45
07 36 = 135
36 30 = 313
30 33 = 332
33 09 = 1078
09 32 = 296
32 14 = 542
14 23 = 171
23 34 = 867
34 13 = 406
13 19 = 13
19 04 = 362
04 37 = 537
37 25 = 691
25 05 = 160
05 01 = 375
