Best Solution Found: (1608)
00 33 02 13 35 04 05 06 07 32 08 36 09 37 11 38 19 20 40 18 39 10 51 14 12 15 16 17 25 24 42 22 41 21 50 23 54 27 49 45 30 46 55 34 01 03 48 31 47 28 53 43 44 29 26 52 00

00 33 = 20
33 02 = 19
02 13 = 37
13 35 = 50
35 04 = 38
04 05 = 47
05 06 = 40
06 07 = 68
07 32 = 26
32 08 = 7
08 36 = 37
36 09 = 11
09 37 = 41
37 11 = 71
11 38 = 12
38 19 = 67
19 20 = 17
20 40 = 12
40 18 = 56
18 39 = 19
39 10 = 47
10 51 = 6
51 14 = 23
14 12 = 25
12 15 = 31
15 16 = 7
16 17 = 9
17 25 = 42
25 24 = 20
24 42 = 12
42 22 = 53
22 41 = 30
41 21 = 10
21 50 = 14
50 23 = 17
23 54 = 22
54 27 = 14
27 49 = 9
49 45 = 39
45 30 = 26
30 46 = 34
46 55 = 14
55 34 = 8
34 01 = 30
01 03 = 20
03 48 = 22
48 31 = 29
31 47 = 29
47 28 = 105
28 53 = 16
53 43 = 26
43 44 = 35
44 29 = 37
29 26 = 36
26 52 = 9
52 00 = 7
