Best Solution Found: (14422)
00 08 39 14 11 10 22 02 21 15 40 33 13 24 12 31 23 09 44 34 03 25 41 01 28 04 47 38 20 46 19 32 45 35 06 17 27 29 36 42 16 26 18 05 43 30 37 07 00

00 08 = 234
08 39 = 247
39 14 = 196
14 11 = 220
11 10 = 366
10 22 = 189
22 02 = 345
02 21 = 250
21 15 = 328
15 40 = 512
40 33 = 496
33 13 = 352
13 24 = 211
24 12 = 184
12 31 = 530
31 23 = 534
23 09 = 352
09 44 = 478
44 34 = 324
34 03 = 516
03 25 = 187
25 41 = 497
41 01 = 598
01 28 = 478
28 04 = 375
04 47 = 295
47 38 = 346
38 20 = 382
20 46 = 346
46 19 = 250
19 32 = 213
32 45 = 190
45 35 = 377
35 06 = 179
06 17 = 54
17 27 = 165
27 29 = 265
29 36 = 146
36 42 = 207
42 16 = 250
16 26 = 126
26 18 = 75
18 05 = 125
05 43 = 429
43 30 = 197
30 37 = 287
37 07 = 329
07 00 = 190
